author,title,text,tags,isbn,isbn13
Scott Anderson,"Lawrence In Arabia: War, Deceit, Imperial Folly And The Making Of The Modern Middle East","<p>After covering daily news from Syria for more than two years, there are times I read history as a guide to the outcome: In the Middle East, it's bad, and Scott Anderson's book tells us why.</p>
<p>It's a group biography that weaves the stories of legendary British officer T.E. Lawrence, who played a key role in the Arab revolt against the Ottoman Turks during World War I; German Curt Prufer, who conspired with the Ottomans; Zionist agronomist Aaron Aaronsohn, who made the desert bloom; and American oil company representative William Yale, who spied for the State Department. Yale is the least accomplished character, but the hapless American gives Anderson the grist to deliver his verdict on U.S. policy then and now. Analyzing a muddled dispatch Yale sent to Washington, Anderson writes: ""He was establishing a tradition of fundamentally misreading the situation in the Middle East that his successors in the American intelligence community would rigorously maintain for the next 95 years."" This is a book about muddling and meddling. It couldn't come at a better time.</p>","[npr-staff-picks, science-and-society, for-history-lovers, rather-long, tales-from-around-the-world]",038553292X,9780385532921
Rainbow Rowell,Eleanor & Park,"<em>Eleanor & Park</em> is a book about two teenagers who fall in love. But more than that, it's about feeling lost &mdash; because of bullying, because of abuse, because of race &mdash; and feeling loved. It captures the pure, visceral thrill of a high school swoon, but it never forgets that those feelings are real and important. Rowell's willingness to portray real ugliness and real pain means that when Eleanor and Park are daring to hope for something wonderful for themselves, the stakes feel enormous. It's called a young adult book, and indeed, it's a fine thing to give a sensitive kid. But there's nothing unsophisticated or less than serious about this empathetic, beautifully rendered novel.","[npr-staff-picks, young-adult, love-stories, the-dark-side, family-matters]",1250012570,9781250012579
Daniel Woodrell,The Maid's Version: A Novel,"Daniel Woodrell is best-known for dark tales of the Ozarks (think <em>Winter's Bone</em>). This book, also set in the Ozarks, is a fictional account of an explosion and fire at a dance hall in 1929 in the town where Woodrell's family is from. Many of the characters are based on real people, including the maid who was inspired by Woodrell's own grandmother. In her version of the events that led to the fire, the rules of class that govern the town and the passion of illicit love prove to be a dangerous and deadly combination. This is a short book, but Woodrell's writing makes you want to slow down and savor a story told by a master.","[npr-staff-picks, realistic-fiction, for-history-lovers, seriously-great-writing, the-dark-side, rather-short, family-matters, book-club-ideas, historical-fiction, rather-short]",0316205850,9780316205856
Robert Martin,How We Do It: The Evolution And Future Of Human Reproduction,"This is one of the best books about sex, and having babies, you're likely to read. I'm not saying ignore the <em>Kama Sutra</em>, <em>What to Expect</em> or even <em>Fifty Shades Of Grey.</em> But if you want to know things like why men have nipples or why it takes a quarter of a <em>billion</em> sperm cells to fertilize <em>one</em> human egg, you should take this white-knuckle ride back through evolutionary time, across continents, into science labs and around your most private parts. It will make you laugh. Your jaw will drop. And the sight of the mismatch between the lives we lead and the bodies we live in will start you thinking.","[npr-staff-picks, science-and-society, eye-opening-reads, its-all-geek-to-me, lets-talk-about-sex, family-matters, for-history-lovers]",0465030157,9780465030156
Ann Leckie,Ancillary Justice,"In this thrilling and complex first novel from Ann Leckie, we plunge into a world of astro-political intrigue. Our hero is on a vendetta to destroy the rulers of a colonial empire that destroyed her starship – but as we read, this typical space opera plot turns into a rich story about how imperialism transforms civilizations as well as the most private thoughts of the individuals in them. We find that our ninjalike hero is actually the fragment of a hive mind that once controlled a starship, and her mission has its roots in a political conflict that stretches back 1,000 years. Come for the page-turning action, and stay for the astonishing character development and world building that will leave you in awe.","[science-fiction-and-fantasy, its-all-geek-to-me]",031624662X,9780316246620
Jesmyn Ward,Men We Reaped: A Memoir,"<p>Jesmyn Ward writes to keep her heart from exploding. <em>Men We Reaped,</em> an accounting of the deaths, in four years, of five men close to her, is beautifully written and gut-wrenchingly sad.</p> <p>""Grief doesn't fade,"" she writes. ""Grief scabs over like my scars and pulls into new, painful configurations as it knits. It hurts in new ways.""</p> <p>Ward writes about her dead brother and dead friends with loving detail: their eyes, their smiles and the color of their skin. Her writing revives the dead men and allows them to speak from beyond the grave: ""Hello. We are here. Listen.""</p>","[npr-staff-picks, biography-and-memoir, science-and-society, the-dark-side, eye-opening-reads, family-matters, seriously-great-writing, book-club-ideas]",160819521X,9781608195213
David Wiesner,Mr. Wuffles!,"You might know David Wiesner from his slightly off-kilter picture books about strange happenings. In his Caldecott winner, <em>Tuesday,</em> an otherwise normal day turns strange when frogs begin to fly through the air on lily pads. His latest book, <em>Mr. Wuffles,</em> is similarly surreal. At the beginning, we meet Mr. Wuffles the cat. He lives in a normal house &mdash; wood floors, striped wallpaper &mdash; but behind the radiator, a small spaceship full of little green aliens has crash-landed. Wiesner tells the story of Mr. Wuffles and the aliens without words. The illustrations are intricate and often funny, as the aliens plot to outwit the cat and escape out the window. Very young readers will pore over the pictures, and any child with a cat will never see the family pet in quite the same way again. (For ages 4 to 8)","[kids-books, funny-stuff, npr-staff-picks]",0618756612,9780618756612
David Finkel,Thank You for Your Service,"Award-winning journalist David Finkel's book <em>Thank You For Your Service</em> is a startlingly intimate and moving portrait of the ""after-war"" &mdash; the enduring emotional wounds of battle for those who've returned from America's wars in Afghanistan and Iraq. Finkel has covered those wars from the front lines for <em>The Washington Post,</em> but here he embeds in the suburban homes and broken families of soldiers living with the ghosts of those battles. There have been many articles about post-traumatic stress disorder and the broken state of mental health care for veterans. But in Finkel's beautifully written and deeply empathetic book, those issues become individual lives and families, impossible to forget.","[npr-staff-picks, science-and-society, eye-opening-reads, the-dark-side, book-club-ideas, family-matters]",0374180660,9780374180669
Meg Wolitzer,The Interestings,"It's hard to write well about modern friendship &mdash; as hard, perhaps, as it is to nurture one. Meg Wolitzer's latest &mdash; and probably finest &mdash; follows a group of friends who meet at arts camp in upstate New York, and go on to a mixture of great successes and minor failures. The characters remain friends for the rest of their lives, and the nature of those friendships and how they ebb and flow within those successes and failures are the novel's most striking achievement. What does it mean to covet a beloved friend's accomplishment, and to really envy his success? Wolitzer writes convincingly about teenagers, and who they become as grown-ups. And she really captures that magical period where all teenagers thought they would grow up to be as special as they were the night of the school play &mdash; only to find that life is less exciting, and more interesting (ha!) than they even thought.","[realistic-fiction, rather-long, family-matters, book-club-ideas, npr-staff-picks]",1594488398,9781594488399
Jill Lepore,Book Of Ages: The Life And Opinions Of Jane Franklin,"It's probably not an exaggeration to say that most Americans aren't even aware that Founding Father Benjamin Franklin had a sister at all. But Jane Franklin Mecom and her older brother were frequent correspondents, and though she didn't have her brother's education, it's undeniable that she shared his brilliance and impatience with lazy thinking. Author Jill Lepore does an admirable job of reconstructing the life of a woman who could have been doomed to obscurity -- and in learning about Jane, we learn more about Ben and the country he helped build. <em>Book of Ages</em> is an endlessly fascinating look at the sometimes tragic, always spirited life of one of early America's most interesting women.","[biography-and-memoir, for-history-lovers, eye-opening-reads, book-club-ideas, family-matters, rather-long]",0307958345,9780307958341
A. Igoni Barrett,"Love Is Power, Or Something Like That: Stories","<em>Love Is Power, Or Something Like That</em> &mdash; a collection of arresting stories by A. Igoni Barrett &mdash; is so much more than its lyrical language, delicious detail and author's love of English &mdash; Nigerian English and English English. A born storyteller, this young writer melds contemporary Nigeria &mdash; Africa's most populous nation and arguably the continent's most bewitching &mdash; with age-old wisdom. Is Barrett a modern-day sage? His prose may shock and startle; but with anguish, violence and cruelty comes compassion.  Barrett artfully captures humanity in these nine tales, adding layers to characters as memorable as Scrooge and <a href=""http://www.npr.org/books/titles/138261444/things-fall-apart"" target=""_blank"">Okonkwo</a>.  A friend gobbled it up in one sitting &mdash; through the night.  A scrumptious read.","[npr-staff-picks, tales-from-around-the-world, poetry, love-stories, rather-short, seriously-great-writing]",1555976409,9781555976408
Mark Fainaru-Wada and Steve Fainaru,"League Of Denial: The NFL, Concussions And The Battle For Truth","The book should come with a warning label for football fans: Watching a game will never be the same after you read it. The authors tell painful stories of NFL players whose names you may recognize &mdash; Mike Webster, Junior Seau, Dave Duerson, to name a few. They introduce you to scientists who fell into researching football-related concussions almost by accident. And they ask tough questions of the NFL, without taking their conclusions too far.","[science-and-society, npr-staff-picks, eye-opening-reads]",0770437540,9780770437541
Dave Eggers,The Circle,"In <em>The Circle,</em> David Eggers thankfully doesn't slam you over the head with WHAT'S WRONG WITH THE KIDS TODAY. Instead, he walks you through a Silicon Valley company &mdash; the Circle &mdash; so very familiar (at least in its own self-mythologizing) that you feel right at home with his almost-heroine, Mae, the newest Circle employee. Mae doesn't just embrace this world; she thrives in it. And it's not just because there are bowling alleys in the employee lounge like a certain tech company we know (*cough* Google ).  This is about the slow boil of the frog: how one gets acclimated to shifting values about privacy, respect and what makes a meaningful relationship.","[npr-staff-picks, mysteries-and-thrillers, its-all-geek-to-me, the-dark-side, rather-long, book-club-ideas]",0385351399,9780385351393
