author,title,text,tags,isbn,isbn13
Roz Chast,Can't We Talk About Something More Pleasant?: A Memoir,"Who would have expected that the most profound meditation yet written on the trials of caring for aging parents would arrive in the form of a graphic book? Chast's memoir is a masterpiece, describing the exhaustion and absurdity, the anger and heartbreak of this cosmic Life Switcheroo that so many of us boomer-generation readers are experiencing. From the sad looniness of having to clean out her failing parents' Brooklyn apartment (whose closets are stuffed with toasters — still in their boxes! — and old bank books) to the desperate anxieties over the astronomical costs of end-of-life care, Chast captures the totality of the ""adult child of elderly parents"" experience. Brava!","[biography-and-memoir, book-club-ideas, comics-and-graphic-novels, funny-stuff, seriously-great-writing, the-dark-side]",1608198065,9781608198061
David Mitchell,The Bone Clocks: A Novel,"We public radio people are generally spoiled by free books. After years of living off the ""giveaway pile"" at the office, it takes a lot for me to buy a book. But I bought David Mitchell's latest. In hardcover. And it was totally worth it. The novel, which blends realism and fantasy, traces the life of a woman who gets caught up in a war between two groups of ancient, near-immortals. I read it flying from D.C. to London, and it carried me much further than that — across centuries, continents and genres. I'm not enough of a Mitchell fan to attend his conferences or read critical essays about him; I am enough of a fan to read nearly everything he's written. And <em>The Bone Clocks</em> ranks among his best.","[npr-staff-picks, rather-long, realistic-fiction, science-fiction-and-fantasy, seriously-great-writing, tales-from-around-the-world]",1400065674,9781400065677
Jill Lepore,The Secret History Of Wonder Woman,"Wonder Woman has always been as divisive as she is popular. Even as millions of girls followed her adventures, Wonder Woman's progressive politics panicked conservative sorts, like the psychiatrist who testified to the Senate about the comic's terrifying vision that ""Women in these stories are placed on equal footing with men."" In her <em>Secret History,</em> Jill Lepore deftly sketches the Amazon superhero's life — her creators, the increasing influence of comics, and the social upheaval she reflects — in wry and enthusiastic prose. It's an engaging history of an iconic character and how culture has changed her (and changed around her).","[biography-and-memoir, book-club-ideas, comics-and-graphic-novels, eye-opening-reads, family-matters, lets-talk-about-sex, science-and-society]",0385354045,9780385354042
Matt Fraction and Chip Zdarsky,Sex Criminals Volume 1: One Weird Trick,"Fresh-faced robbers, lighthearted humor and celebrations of reading aren't usually found in R-rated comics — as to what <em>is</em> usually found in R-rated comics, that will have to wait for another day — but Matt Fraction and Chip Zdarsky seem determined to upend every stereotype about carnal entertainment. <em>Sex Criminals</em> bubbles over with joyous energy. Fraction provides a charming concept and brisk storyline, and Zdarsky's art is luscious and varied. There's even a cheeky tribute to <em>The Family Circus.</em> You might not want to read <em>Sex Criminals</em> in public, but do read it.","[comics-and-graphic-novels, funny-stuff, lets-talk-about-sex, love-stories, mysteries-and-thrillers]",1607069466,9781607069461
Sarah Waters,The Paying Guests,"I spent a good couple months reading <em>The Paying Guests</em> in 2014 — not because the book is long, but because I couldn't let go of the pleasure of reading it. The bare bones: Post World War I, a newly impoverished Frances Wray and her mother are forced to take in boarders, the young couple Leonard and Lilian Barber. The Barbers are several rungs down the social ladder from the Wrays, but post-war British society is changing — everything from family life to the place of women — and every relationship in the house is affected. When a romance develops between two of the characters (I won't give away which two), the plot explodes. This book reads like a Daphne Du Maurier psychological thriller with the heat turned way up. And when I say heat, I mean it. I'll never think of a scullery without blushing again.","[npr-staff-picks, book-club-ideas, family-matters, for-history-lovers, historical-fiction, lets-talk-about-sex, love-stories, rather-long, realistic-fiction]",1594633118,9781594633119
Patricia Hruby Powell and Christian Robinson,Josephine: The Dazzling Life Of Josephine Baker,"It would be nearly impossible to write a bad biography of Josephine Baker, civil rights activist and superstar. Glamorous dancer, spy, sparkplug and owner of a pet leopard named Chiquita — not even the driest prose could make these facts seem dull. But to create words and pictures that match her electric crackle — that's a challenge. Patricia Hruby Powell's vivid, rhythmic poetry and Christian Robinson's arrestingly bold acrylic paintings accomplish something special by simply doing justice to Baker's remarkable journey from segregated St. Louis to performing in Paris. Your kids will be dancing around in banana skirts after reading this one. (For ages 7 to 10)","[biography-and-memoir, for-art-lovers, for-history-lovers, for-music-lovers, kids-books, seriously-great-writing]",1452103143,9781452103143
Rowan Jacobsen,"Apples Of Uncommon Character: Heirlooms, Modern Classics, And Little-Known Wonders","<em>Apples of Uncommon Character</em> is a who's who of apples — 123 ""portraits"" of different varieties, described and photographed in loving detail. Rowan Jacobson explains how only a handful of apples — of the thousands once available in the 19th century — ever made it to modern supermarkets. He laments the bright but tasteless Red Delicious is a ""disaster"" that American consumers brought upon themselves. Now, a renaissance is underway as heirloom apple enthusiasts race to save rare varieties before they die out. Jacobson offers resources, recipes, facts and tips to delight any apple geek — and his 300-page Facebook-of-fruit is full of creative descriptions, such as, ""Like the Incredible Hulk, Mutsu is huge, green, and strangely lovable.""","[npr-staff-picks, cookbooks-and-food, eye-opening-reads, for-history-lovers, its-all-geek-to-me]",1620402270,9781620402276
Chang-rae Lee,On Such A Full Sea: A Novel,"There's been a lot of traffic in dystopias recently, but when a great literary novelist takes on the genre, it's worth paying close attention. Chang-rae Lee's <em>On Such A Full Sea</em> is a desolate vision of the future, which begins in the former Baltimore, now known as B-mor. A young woman named Fan sets off in search of her vanished lover, across a highly stratified society, strange and immoral. Lee's writing is gorgeous and the literary device of a kind of Greek chorus — the community voice of B-Mor — feels fresh, but also timeless. Like most dystopias, the book is an allegory, but it never seems obvious or on-the-nose — it's more like a fable, simple and cautionary — an important critique of a world we'll hope we don't see.","[npr-staff-picks, book-club-ideas, science-fiction-and-fantasy, seriously-great-writing, the-dark-side]",1594486107,9781594486104
Leslie Jamison,The Empathy Exams: Essays,"<em>The Empathy Exams</em> is a trove of treats for those who enjoy a genre I'll call ""travelisophical"": traveling to a strange world and trying to make philosophical sense of it. It has essays on imprisoned marathoners (""What happens when you confine a man whose whole life is motion?""), a contagious skin condition that's likely imagined (""Doubting Morgellons hasn't stopped me from being afraid I'll get it.""), poverty tourism and a delightful jag on sweetness called ""In Defense of Saccharin(e)."" Thanks to Leslie Jamison's sharp mind, questions that could be butchered in somebody else's hands are executed with such rigor that you emerge candle-dipped in an intelligence you do not possess.","[npr-staff-picks, science-and-society, seriously-great-writing]",1555976719,9781555976712
Amanda Petrusich,"Do Not Sell At Any Price: The Wild, Obsessive Hunt For The World's Rarest 78rpm Records","The 78 rpm record is ""not a medium that invites dabbling,"" Amanda Petrusich writes. No kidding. It's hard to even find a turntable that will play the antique, 10-inch pieces of shellac, let alone lay your hands upon the discs. So when Petrusich finds herself in the Milwaukee River, hunting for 78s downstream from a demolished record pressing plant, you get a sense of both the stubbornness and the scraping desperation of the obsessive hunters of 78s she profiles in her book. Petrusich is an outsider — a young woman among (mostly) older men who admits in the book's prologue that her job as a music critic in the 21st century made collecting physical records feel like a pose. But she's an amazingly sympathetic writer with an eye for the detail that makes both her eccentric collectors and the objects they fetishize step out of caricature into idiosyncratic truth.","[npr-staff-picks, eye-opening-reads, for-music-lovers, its-all-geek-to-me, seriously-great-writing]",1451667051,9781451667059
