author,title,text,tags,isbn,isbn13
Mona Awad,13 Ways Of Looking At A Fat Girl: Fiction,"The title of this book might be off-putting — after all, the word ""fat"" makes people uncomfortable. We prefer euphemisms like ""chubby"" or ""big."" But novelist Mona Awad uses the word deliberately. She wants her readers to understand how a struggle with body image can take over a life. Lizzie, the fat girl of the title, is an insecure, overweight young woman who lets men take advantage of her in humiliating ways. Later we meet her as an older, thin woman, obsessed with staying fit, but big or small, happiness eludes her. Awad is a fine writer with a keen sense of black humor, which makes this often sad story more entertaining than you might expect.","[staff-picks, book-club-ideas, identity-and-culture, realistic-fiction]",0143128485,9780143128489
"Eric Ripert, with Veronica Chambers",32 Yolks: From My Mother's Table To Working The Line,"<em>32 Yolks</em> is as much a peek into the cutthroat restaurant world as it is a culinary tour of chef Eric Ripert's childhood and first years in the kitchen. He pays tribute to the chef who inspired him as a young boy (he fed him bowls of chocolate mousse), and recalls the first dish he ever made in a Michelin three-star restaurant — a hollandaise sauce with 32 yolks. (Spoiler alert: It didn't turn out well.)","[staff-picks, biography-and-memoir, book-club-ideas, cookbooks-and-food, family-matters, nonfiction, tales-from-around-the-world]",0812992989,9780812992984
Sonali Dev,A Change Of Heart,"A change of pace from last year's <em>A Bollywood Affair,</em> Dev's latest romance is emotional, intricate, and will squeeze your heart with painstaking precision. Cruise ship doctor Nic Joshi is drinking himself into oblivion as as he mourns his wife, Jen, who was killed after discovering a black market in organ transplants. When a passenger named Jess seeks him out, he refuses to believe her story: She received Jen's heart, and she has a message for him. <em>A Change of Heart</em> is part thriller, part romance and part magical possibility, with a deeply satisfying and several-tissues-required happy ending.","[identity-and-culture, lets-talk-about-sex, love-stories, tales-from-around-the-world]",1496705742,9781496705747
Oliver Jeffers and Sam Winston,A Child Of Books,"It begins: ""I am a child of books. I come from a world of stories. And upon my Imagination I float."" Avid readers of all ages will identify with this delightful picture book about a little girl who sails away on a sea of words. Texts from classic picture books are incorporated into clever illustrations. Now if only we could get some modern stories in there ... perhaps <em>A Child of Books, Part II</em>? (For ages 4 and up)","[staff-picks, kids-books]",0763690775,9780763690779
Brian Evenson,A Collapse Of Horses: A Collection Of Stories,"Brian Evenson's unsettling collection plumbs the depths of the unknown and brings back 17 stories of terror. In <em>A Collapse of Horses,</em> nothing is reliable; love, relationships, friendships, memories and reality are deeply suspect. These stories are subtly violent and existential, simultaneously minimalist and Lovecraftian. If you're ready for this surreal procession of nightmares, it's ready for you.","[poetry, science-fiction-and-fantasy, seriously-great-writing, the-dark-side]",1566894131,9781566894135
Amor Towles,A Gentleman In Moscow: A Novel,"Count Alexander Rostov is a resourceful man who loves the finer things in life. When he is sentenced by the Bolsheviks to a lifetime of house arrest in a tiny room in the attic of Moscow's best hotel, he uses his charm and wit to build a new life that is in some ways richer than his old one. While wars both hot and cold rage in the outside world, Count Rostov finds purpose and people to love within the confines of the Metropol. The count, says author Amor Towles, has a <a href=""http:// http://www.npr.org/2016/09/06/492434255/idea-for-gentleman-in-moscow-came-from-many-nights-in-luxury-hotels"" target=""_blank"" >will to joy.</a> No wonder, then, that <em>A Gentleman in Moscow</em> is a joyful read.","[staff-picks, historical-fiction, love-stories, rather-long, tales-from-around-the-world]",0670026190,9780670026197
Louise Penny,A Great Reckoning: A Novel,"In Louise Penny's 12th Chief Inspector Gamache novel, Gamache has just stepped into his new post as chief superintendent of the police academy. He accepted the job in order to find the source of corruption within the academy — a corruption that has warped idealistic cadets into brutish police officers. Soon enough, though, Gamache confronts a more pressing problem: the murder of a professor who had been antagonistic to Gamache's appointment. Penny is a beautiful writer and <em>A Great Reckoning</em> is one of her best, but I think that pretty much every time I finish a Gamache mystery.","[staff-picks, mysteries-and-thrillers]",1250022134,9781250022134
Amanda Bouchet,A Promise Of Fire,"Cat is a Kingmaker, with the coveted power to tell when someone is lying — and in doing so, upend the power structure of her world. So she conceals herself as a member of a traveling circus to keep from being used as a pawn in an endless war between kingdoms. But when she is kidnapped by a warlord of a higher class, a breathtaking adventure begins as they both fight against connection, forbidden attachment, and centuries-old plots to kill them both. Infused with mythology and lavish world-building, this is the first book of a trilogy, and you <em>will</em> want more.","[ladies-first, lets-talk-about-sex, love-stories, science-fiction-and-fantasy]",1492626015,9781492626015
Robert F. Worth,"A Rage For Order: The Middle East In Turmoil, From Tahrir Square To ISIS","As the Arab Spring raged across the Middle East in 2011, <em>New York Times</em> correspondent Robert Worth was there, documenting the revolutions and the characters who drove them. His finely detailed book introduces us to the ecstatic Egyptian revolutionaries who toppled Hosni Mubarak; a Libyan rebel interrogator weighing whether to take revenge on the Moammar Gadhafi loyalists who killed his brother; and two young Syrian women, as close as sisters, whose bond is shattered by sectarian hatred.  The latter half of the book explores the regimes that followed the revolutions, and the rise of the Islamic State.  <em>A Rage for Order</em> offers vital lessons to help us understand a region whose conflicts rage on.","[staff-picks, nonfiction, tales-from-around-the-world]",0374252947,9780374252946
Sherry Thomas,A Study In Scarlet Women,"Charlotte Holmes is immeasurably observant, able to tease the truth out of a handful of clues, but unable to accept that as a woman, her options in society are limited and do not include the autonomy she craves. The mystery here — several strange deaths that threaten Charlotte's family — contains all the hairpin turns one might expect, but it's the revelations and connections between Charlotte and the women who surround her that form the heart of this clever gender inversion of a classic literary character.","[book-club-ideas, historical-fiction, ladies-first, love-stories, mysteries-and-thrillers, seriously-great-writing]",042528140X,9780425281406
